ID,Is_Lead
VBENBARO,0.0
CCMEWNKY,0.09
VK3KGA9M,0.03
TT8RPZVC,0.11
SHQZEYTZ,0.0
MZZAQMPT,0.87
Y88TW36I,0.18
3UGOAQNU,0.04
VVUKMUJT,0.96
9R363ZXS,0.02
BLISM6JE,0.0
CH8S7JK7,0.13
EAHDPXEJ,0.3
BNUK9PRF,0.27
GP2PG6FJ,0.02
WNQCSN8A,0.0
32DN4YVZ,0.44
GXAMDANM,0.0
MXETLUP4,0.32
MPXK6TVE,0.63
LBSIME2K,0.49
D6ORJTM6,0.02
HGDIBAKA,0.38
UUZYL9DZ,0.63
AUGE3VWK,0.03
MX7GOX6Q,0.33
TQN6K35W,0.24
QQDRMQQN,0.57
UP6GC6F4,0.21
BMHBUVHB,0.71
KGLDW86A,0.47
FQEOMOP4,0.0
DYWM5MEU,0.11
DXHGXV8F,0.41
AVFBFQKC,0.17
DBIDKYMV,0.73
KYZHMEBY,0.1
SSFEBUGF,0.32
MGJTAG8X,0.61
MP6BERDO,0.04
GXZ8ED68,0.0
ICTFGWQR,0.42
EAYHTRKH,0.04
6FN97QLQ,0.07
3H5MZDDW,0.37
2DXZZWSN,0.03
MM4QIRE5,0.33
HJWVYXUA,0.0
RBRSJUP3,0.21
YFRQKGXW,0.69
N3SADEBV,0.1
G2A2YYXY,0.19
XMGA3WT3,0.21
KVZQPSGI,0.38
UAKARBBG,0.01
WYKKL85Z,0.12
GHNYYGRR,0.06
UBAJANWT,0.0
LSARSF7U,0.02
4CNSJVVR,0.32
JRHJSWYO,0.14
FHZ8SVVI,0.07
JUIRE47M,0.03
GDIVN2GL,0.23
WMF3DYE3,0.96
MAQEHEWK,0.17
2W8DLKFU,0.01
AKGRML6H,0.07
B7WUUGCY,0.2
TLJOYATM,0.58
UH6ZDM3W,0.05
7IP5SSRR,0.94
PV85PMEB,0.43
FGDOY4NI,0.17
7YYIXJQE,0.25
BHW42XPW,0.26
3PKEEAT4,0.18
ACFPZ3LM,0.12
6GORGNYN,0.25
AEPQTMJK,0.57
S6FNZFKK,0.0
JTYNEKRQ,0.53
GPXDPHHC,0.1
O8TMKNNB,0.17
XSQVHKYG,0.03
MJ3CZRAE,0.0
3NSQEYBJ,0.18
SXVBASGH,0.02
5ZIGZYSS,0.09
FQSHBCUT,0.33
MU45XUBP,0.04
BVULDPBI,0.04
82GRNPFG,0.26
KKBNELBF,0.01
